animal_id	WaterLost_CB	OMLost_CB	CO2Lost_CB	Phosphates_CB	Mineral_CB	Phosphates/OM_CB	CO3/Phosphates_CB	WaterLost_MB	OMLost_MB	CO2Lost_MB	Phosphates_MB	Mineral_MB	Phosphates/OM_MB	CO3/Phosphates_MB
352	9.15037	23.08468	4.69217	63.07279	67.76495	2.73224	11.15893	10.20616	46.54585	2.95368	40.29431	43.24799	0.86569	10.99538
354	10.3391	22.45314	4.75578	62.45198	67.20776	2.78144	11.42266							
356	8.80957	23.08757	4.92357	63.17928	68.10286	2.73651	11.68953	8.36355	46.4328	4.89751	40.30614	45.20365	0.86805	18.22616
357	10.41271	22.95063	4.78548	61.85119	66.63666	2.69497	11.60563	9.64992	51.9236	3.69222	34.73425	38.42647	0.66895	15.94488
358	8.60525	23.65596	4.86698	62.87181	67.73879	2.65776	11.61166	7.59259	54.6532	3.81145	33.94276	37.75421	0.62106	16.84357
359	9.78692	22.31823	4.46657	63.42828	67.89485	2.84199	10.56289	9.02504	58.29254	1.958	30.72442	32.68242	0.52707	9.55916
360	8.14467	23.91384	5.24825	62.69324	67.94149	2.62163	12.55697	9.61964	48.4731	2.77822	39.12904	41.90726	0.80723	10.65023
361	9.00943	23.90512	4.87869	62.20677	67.08546	2.60224	11.76405	9.27138	56.54246	2.60673	31.57942	34.18615	0.55851	12.38177
362	9.12019	23.52433	5.03251	62.32297	67.35548	2.6493	12.11233	6.77433	44.79154	3.8587	44.57543	48.43412	0.99518	12.98484
363	10.18207	22.8342	4.65721	62.32652	66.98373	2.72953	11.20842							
365	10.41779	21.76625	4.72029	63.09567	67.81596	2.89878	11.22174							
366	9.96715	21.90821	4.63109	63.49354	68.12463	2.89816	10.9407	10.01714	46.54709	2.62006	40.8157	43.43576	0.87687	9.62889
367	9.47954	22.80182	4.74731	62.97134	67.71865	2.76168	11.30826	6.17102	63.72265	2.99226	27.11407	30.10633	0.4255	16.55374
368	9.61162	23.56429	4.94565	61.87844	66.8241	2.62594	11.98879	8.23401	50.98922	3.88794	36.88883	40.77678	0.72346	15.80943
369	10.34034	22.58914	4.70684	62.36368	67.07052	2.76078	11.3211	9.70194	50.25136	2.29921	37.74749	40.0467	0.75117	9.13653
370	8.40743	23.42694	4.71204	63.45359	68.16564	2.70857	11.13895	9.56221	53.68413	2.31917	34.43448	36.75366	0.64143	10.10255
371	8.67357	24.19255	5.01725	62.11663	67.13388	2.56759	12.11573	9.40961	55.37913	2.18588	33.02539	35.21127	0.59635	9.92819
373	8.35914	24.06744	4.80904	62.76439	67.57342	2.60785	11.49307	6.68306	65.92159	3.30271	24.09264	27.39535	0.36547	20.56257
374	9.74441	22.31621	4.65226	63.28712	67.93938	2.83593	11.02655							
375	10.07485	23.48795	4.61582	61.82138	66.4372	2.63205	11.19958	6.91356	48.7826	3.55289	40.75095	44.30384	0.83536	13.07783
377	10.26149	22.19168	4.45512	63.09171	67.54683	2.84303	10.59201	7.03144	60.98476	2.71196	29.27185	31.98381	0.47999	13.89708
378	9.76075	22.64989	4.56509	63.02426	67.58936	2.78254	10.86509	9.38289	59.44329	2.17415	28.99967	31.17382	0.48785	11.24574
381	8.05144	24.92327	5.27608	61.74922	67.0253	2.47757	12.81656	10.20441	43.12874	2.89089	43.77596	46.66685	1.01501	9.90575
382	9.64396	22.9067	4.62603	62.82331	67.44935	2.74257	11.04534							
383	--	21.48868	5.10608	59.67524	64.78132	2.77705	12.83467	10.39639	51.07622	2.89479	35.63259	38.52739	0.69764	12.186
384	8.8431	23.07008	4.92602	63.1608	68.08682	2.73778	11.69877	9.22765	56.16098	2.29924	32.31213	34.61137	0.57535	10.67357
385	8.64212	23.02773	5.2803	63.04984	68.33015	2.738	12.56221	9.29938	52.38698	2.77897	35.53467	38.31364	0.67831	11.73067
386	9.99847	22.73718	4.36244	62.9019	67.26434	2.76648	10.40296							
387	8.78324	24.61477	4.96519	61.6368	66.60199	2.50406	12.08333	9.84248	57.81893	2.42242	29.91618	32.3386	0.51741	12.14602
389	7.63913	24.67999	5.13382	62.54706	67.68088	2.53432	12.3119	10.41207	40.77214	4.92906	43.88672	48.81578	1.07639	16.84699
390	10.03567	23.02226	4.16952	62.77255	66.94207	2.7266	9.9634							
391	9.42469	22.62854	4.78721	63.15956	67.94677	2.79115	11.36933	6.96868	64.80984	3.18419	25.03729	28.22148	0.38632	19.07669
392	9.78839	22.85144	4.47346	62.88671	67.36017	2.75198	10.67027	10.36039	33.7563	3.35535	52.52796	55.88331	1.55609	9.58162
393	8.63431	22.99664	4.95147	63.41759	68.36905	2.75769	11.71158	9.67777	49.61414	2.47211	38.23599	40.7081	0.77067	9.69809
395	9.26139	23.37021	4.92094	62.44746	67.3684	2.6721	11.82018	6.93471	42.03749	3.76996	47.25785	51.02781	1.12418	11.96615
397	9.90198	23.08185	4.71197	62.3042	67.01618	2.69927	11.34428	6.53597	52.03293	4.44619	36.9849	41.43109	0.7108	18.03244
398	9.91593	22.25194	4.55993	63.27219	67.83212	2.84345	10.81027	9.36474	62.54105	2.47845	25.61576	28.09421	0.40958	14.51322
399	9.94203	22.37413	4.81237	62.87148	67.68385	2.81001	11.48145							
